id,table,column,datatype,datatype_description,values,definitions,conditions
110,aw_data_civcas_victims,profession,varchar(255),Text (short),agriculture ; art ; civil-service ; commerce ; education ; emergency-response ; engineering ; government ; healthcare ; humanitarian ; journalism ; law ; religion ; security ; sports ; transportation ; united-nations,"Agriculture: farmers, herders and professions related to agriculture, dairy, and livestock ; Art: artists, poets, writers, musicians (including those working in creative fields) ; Civil Service: bureaucrats or others employed by national or local governments (including police and border guards) ; Education: teachers, professors, nursery school instructors (including those employed by educational institutions) ; Emergency Response: individual responds to incidents or injuries in the field (this includes ambulance operators and their crews, civil defense workers, and firefighters) ; Engineering: individuals working in traditional engineering roles and digital technological roles (such as web developers, software engineers, etc.) ; Government: elected officials, politicians (such as mayors or members of political councils) ; Healthcare: doctors, dentists, pharmacists, nurses, veterinarians (including individuals working in the healthcare field or within a healthcare facility) ; Journalism: individual works in news or media and is involved in producing journalistic content (this includes correspondents, video producers, cameramen, etc., and ""drivers"" or ""fixers"" who are employed by news or media organisation) ; Law: lawyers, judges, notaries (including those reporting directly to a lawyer or clerk) ; Religion: clerical figures in all religions (including those employed within religious facilities, such as Muezzins and Sacristans), as well as anyone who was employed by a religious institution ; Sports: professional athletes playing for national or club level leagues ; Transportation: bus drivers, cab drivers, pilots, and other related professions",
111,aw_data_civcas_victims,gender,varchar(255),Text (short),female ; male,,
112,aw_data_civcas_victims,pregnant,tinyint(1),True or False,,,
113,aw_data_civcas_victims,age_group,varchar(255),Text (short),child ; adult,May be NULL if no sources indicate age group,
114,aw_data_civcas_victims,age,int(11),Whole number,,May be NULL if sources do not indicate an exact age,
115,aw_data_civcas_victims,killed_or_injured,varchar(255),Text (short),,,
116,aw_data_civcas_victims,additional_notes,varchar(255),Text (short),,,
117,aw_data_civcas_victims,url,varchar(255),Text (short),,,
118,aw_data_civcas_victims,reconciliation_id,varchar(255),Text (short),,National ID from Palestinian Ministry of Health (MoH),
119,aw_data_civcas_victims,group_code,varchar(255),Text (short),,code for the family to which an individual belongs,
120,aw_data_civcas_victims,in_group,tinyint(1),True or False,,,
121,aw_data_civcas_victims,num_group_members,int(11),Whole number,,,
123,aw_data_civcas_casualties,id,int(11) unsigned,Whole number,,,
124,aw_data_civcas_casualties,post_id,int(11),Whole number,,,
125,aw_data_civcas_casualties,code,varchar(255),Text (short),,,
126,aw_data_civcas_casualties,casualty_type_taxonomy,varchar(255),Text (short),Casualty ; Profession ; Protected Person,,
127,aw_data_civcas_casualties,casualty_type_slug,varchar(255),Text (short),children ; men ; women ; agriculture ; art ; civil-service ; commerce ; education ; emergency-response ; engineering ; government ; healthcare ; humanitarian ; journalism ; law ; religion ; security ; sports ; transportation ; united-nations ; hors-de-combat,"People killed or injured, by demographic ; Agriculture: farmers, herders and professions related to agriculture, dairy, and livestock ; Art: artists, poets, writers, musicians (including those working in creative fields) ; Civil Service: bureaucrats or others employed by national or local governments (including police and border guards) ; Education: teachers, professors, nursery school instructors (including those employed by educational institutions) ; Emergency Response: individual responds to incidents or injuries in the field (this includes ambulance operators and their crews, civil defense workers, and firefighters) ; Engineering: individuals working in traditional engineering roles and digital technological roles (such as web developers, software engineers, etc.) ; Government: elected officials, politicians (such as mayors or members of political councils) ; Healthcare: doctors, dentists, pharmacists, nurses, veterinarians (including individuals working in the healthcare field or within a healthcare facility) ; Journalism: individual works in news or media and is involved in producing journalistic content (this includes correspondents, video producers, cameramen, etc., and ""drivers"" or ""fixers"" who are employed by news or media organisation) ; Law: lawyers, judges, notaries (including those reporting directly to a lawyer or clerk) ; Religion: clerical figures in all religions (including those employed within religious facilities, such as Muezzins and Sacristans), as well as anyone who was employed by a religious institution ; Sports: professional athletes playing for national or club level leagues ; Transportation: bus drivers, cab drivers, pilots, and other related professions ; Hors de Combat: injured soldiers and or militants, political figures or leaders who are incapacitated, and prisoners of war",
128,aw_data_civcas_casualties,casualty_affiliation_slug,varchar(255),Text (short),civil-society ; foreign-government ; humanitarian ; local-authority ; militant ; private ; united-nations,,
129,aw_data_civcas_casualties,while_working,tinyint(1),True or False,,,
130,aw_data_civcas_casualties,killed_min,int(11),Whole number,,,
131,aw_data_civcas_casualties,killed_max,int(11),Whole number,,,
132,aw_data_civcas_casualties,injured_min,int(11),Whole number,,,
133,aw_data_civcas_casualties,injured_max,int(11),Whole number,,,
